[23:47:24] [INFO] received Windows console close event; shutting log-core down
[06:15:44] [INFO] received Windows console close event; shutting log-core down
[17:50:10] [INFO] received Windows console close event; shutting log-core down
[18:03:07] [INFO] received Windows console close event; shutting log-core down
[18:06:43] [INFO] received Windows console close event; shutting log-core down
[19:02:02] [INFO] received Windows console close event; shutting log-core down
[19:05:15] [INFO] received Windows console close event; shutting log-core down
[19:13:30] [INFO] received Windows console close event; shutting log-core down
[19:25:10] [INFO] received Windows console close event; shutting log-core down
[19:28:20] [INFO] received Windows console close event; shutting log-core down
[19:37:37] [INFO] received Windows console close event; shutting log-core down
[19:39:47] [INFO] received Windows console close event; shutting log-core down
[20:11:08] [INFO] received Windows console close event; shutting log-core down
[20:12:34] [INFO] received Windows console close event; shutting log-core down
[20:17:32] [INFO] received Windows console close event; shutting log-core down
[20:29:37] [INFO] received Windows console close event; shutting log-core down
[20:33:27] [INFO] received Windows console close event; shutting log-core down
[20:45:35] [INFO] received Windows console close event; shutting log-core down
[20:47:39] [INFO] received Windows console close event; shutting log-core down
[20:55:07] [INFO] received Windows console close event; shutting log-core down
[21:31:45] [INFO] received Windows console close event; shutting log-core down
[06:24:23] [INFO] received Windows console close event; shutting log-core down
[06:41:48] [INFO] received Windows console close event; shutting log-core down
[06:51:10] [INFO] received Windows console close event; shutting log-core down
